Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,URL,New_Genre,Genre_2020
16210,Maken Shao: Demon Sword,PS2,2003.0,Jul,26.0,undefined,Midas Interactive Entertainment  ,Atlus Co.  ,,,,,0.04,,0.04,https://www.vgchartz.com/game/3706/maken-shao-demon-sword/?region=All,Action,Action
16211,Casual Mania!,DS,2010.0,Feb,23.0,undefined,Destineer  ,Most Wanted Entertainment  ,,,0.04,0.0,,0.0,0.04,https://www.vgchartz.com/game/43397/casual-mania/?region=All,Puzzle,Puzzle
16212,Scaler,XB,2004.0,Oct,20.0,undefined,Global Star Software  ,Artificial Mind & Movement  ,,,0.03,0.01,,0.0,0.04,https://www.vgchartz.com/game/1979/scaler/?region=All,Platform,Platform
16213,Super Robot Taisen OG Infinite Battle,PS3,2013.0,Nov,28.0,undefined,Namco Bandai Games  ,B.B. Studio  ,,,,,0.04,,0.04,https://www.vgchartz.com/game/75407/super-robot-taisen-og-infinite-battle/?region=All,Fighting,Fighting
16214,BeatMania IIDX 16: Empress + Premium Best,PS2,2009.0,Oct,15.0,undefined,Konami  ,Konami  ,,,,,0.04,,0.04,https://www.vgchartz.com/game/36578/beatmania-iidx-16-empress-premium-best/?region=All,Simulation,Simulation
16215,Emergency Room: Real Life Rescues,DS,2009.0,Aug,25.0,undefined,Legacy Interactive  ,Legacy Interactive  ,,,0.04,,,0.0,0.04,https://www.vgchartz.com/game/29930/emergency-room-real-life-rescues/?region=All,Simulation,Simulation
16216,FIFA Soccer 2003 (weekly jp sales),PS2,2002.0,Nov,14.0,undefined,EA Sports  ,EA Canada  ,,,,,0.04,,0.04,https://www.vgchartz.com/game/3295/fifa-soccer-2003-weekly-jp-sales/?region=All,Sports,Sports
16217,DoraMoji: Nobita no Kanji Daisakusen,3DS,2015.0,Feb,26.0,undefined,Shogakukan  ,Jupiter Corporation  ,,,,,0.04,,0.04,https://www.vgchartz.com/game/85300/doramoji-nobita-no-kanji-daisakusen/?region=All,Misc,Misc
16218,High Heat Baseball 2002,PS,2001.0,Mar,14.0,undefined,3DO  ,3DO  ,,,0.02,0.02,,0.0,0.04,https://www.vgchartz.com/game/39686/high-heat-baseball-2002/?region=All,Sports,Sports
16219,Metal Gear Solid HD Collection,PSV,2012.0,Jun,12.0,undefined,Konami Digital Entertainment  ,Armature Studio  ,,,,,0.04,,0.04,https://www.vgchartz.com/game/63616/metal-gear-solid-hd-collection/?region=All,undefined,Misc
16220,Horses 3D,3DS,2012.0,Mar,27.0,undefined,Ubisoft  ,Ubisoft  ,,,0.04,,,0.0,0.04,https://www.vgchartz.com/game/65445/horses-3d/?region=All,Misc,Misc
16221,Major League Baseball 2K12,PC,2012.0,Mar,6.0,undefined,Take-Two Interactive  ,"Visual Concepts, Ltd.  ",,,0.04,,,0.0,0.04,https://www.vgchartz.com/game/70514/major-league-baseball-2k12/?region=All,Sports,Sports
16222,James Cameron's Avatar: The Game,PC,2009.0,Dec,1.0,undefined,Ubisoft  ,Ubisoft Montreal  ,6.4,,,0.04,,0.0,0.04,https://www.vgchartz.com/game/35150/james-camerons-avatar-the-game/?region=All,undefined,Action
