Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,URL
15750,Dakar 18,PS4,2018,Sep,25,undefined,Deep Silver  ,Bigmoon Entertainment  ,,,0.03,0.01,,0.01,0.05,https://www.vgchartz.com/game/222391/dakar-18/?region=All
15751,Super Bust-A-Move,GBA,2001,Nov,27,undefined,Ubisoft  ,Taito Corporation  ,,,0.03,0.01,,0.0,0.05,https://www.vgchartz.com/game/28450/super-bust-a-move/?region=All
15752,Mega Man Battle Chip Challenge,GBA,2004,Mar,03,undefined,Capcom  ,Inti Creates  ,,,,,0.05,,0.05,https://www.vgchartz.com/game/3753/mega-man-battle-chip-challenge/?region=All
15753,Freelancer,PC,2003,Mar,03,undefined,Microsoft Game Studios  ,Digital Anvil  ,,,0.02,0.03,,0.0,0.05,https://www.vgchartz.com/game/14653/freelancer/?region=All
15754,ZooCube,GBA,2002,May,14,undefined,Acclaim Entertainment  ,PuzzleKings  ,8.6,,0.03,0.01,,0.0,0.05,https://www.vgchartz.com/game/24158/zoocube/?region=All
15755,Stunt GP,PS2,2001,Nov,13,undefined,Titus  ,Team17 Software  ,,,0.02,0.02,,0.01,0.05,https://www.vgchartz.com/game/2255/stunt-gp/?region=All
15756,D.Gray-man: Kami no Shitotachi,DS,2007,Mar,29,undefined,Konami  ,Konami  ,,,,,0.05,,0.05,https://www.vgchartz.com/game/3034/dgray-man-kami-no-shitotachi/?region=All
15757,NBA 2K,DC,1999,Nov,10,undefined,Sega  ,Visual Concepts  ,8.9,,,,0.05,,0.05,https://www.vgchartz.com/game/1503/nba-2k/?region=All
15758,Strikers 1945,SAT,1996,Jun,28,undefined,Atlus  ,Psikyo  ,,,,,0.05,,0.05,https://www.vgchartz.com/game/4398/strikers-1945/?region=All
15759,Jikkyou Oshaberi Parodius,SNES,1995,Dec,15,undefined,Konami  ,KCEO  ,,,,,0.05,0.0,0.05,https://www.vgchartz.com/game/3994/jikkyou-oshaberi-parodius/?region=All
15760,Super Jinsei Game 2,SNES,1995,Sep,08,undefined,Takara  ,Takara  ,,,,,0.05,0.0,0.05,https://www.vgchartz.com/game/4457/super-jinsei-game-2/?region=All
15761,World Series of Poker,GC,2005,Sep,14,undefined,Activision  ,Activision Value  ,4.7,,0.04,0.01,,0.0,0.05,https://www.vgchartz.com/game/5996/world-series-of-poker/?region=All
15762,ARK Park,PS4,2018,Oct,30,undefined,Snail Games USA  ,Snail Games USA  ,,,0.04,,,0.01,0.05,https://www.vgchartz.com/game/222434/ark-park/?region=All
15763,J-League Winning Eleven 2010: Club Championship,PS2,2010,Aug,05,undefined,Konami  ,Konami  ,,,,,0.05,,0.05,https://www.vgchartz.com/game/45807/j-league-winning-eleven-2010-club-championship/?region=All
15764,Johnny Bazookatone,PS,1996,Jan,01,undefined,U.S. Gold  ,Arc Developments  ,,,0.03,0.02,,0.0,0.05,https://www.vgchartz.com/game/22695/johnny-bazookatone/?region=All
15765,Reader Rabbit 2nd Grade,Wii,2010,May,04,undefined,Graffiti  ,Graffiti Entertainment  ,,,0.04,,,0.0,0.05,https://www.vgchartz.com/game/40553/reader-rabbit-2nd-grade/?region=All
15766,TNA iMPACT: Cross the Line,DS,2010,Jun,22,undefined,SouthPeak Interactive  ,Point of View  ,,,0.04,,,0.0,0.05,https://www.vgchartz.com/game/40653/tna-impact-cross-the-line/?region=All
15767,Reign of Fire,GBA,2002,Oct,31,undefined,BAM! Entertainment  ,Crawfish Interactive  ,,,0.03,0.01,,0.0,0.05,https://www.vgchartz.com/game/28195/reign-of-fire/?region=All
15768,Koihime Musou,PS2,2008,Nov,20,undefined,Yeti  ,Yeti  ,,,,,0.05,,0.05,https://www.vgchartz.com/game/29137/koihime-musou/?region=All
15769,Singularity,PC,2010,Jun,29,undefined,Activision  ,Raven Software  ,7.5,,,0.04,,0.01,0.05,https://www.vgchartz.com/game/32430/singularity/?region=All
15770,Deadliest Catch: Alaskan Storm,X360,2008,Jun,17,undefined,Navarre Corp  ,Liquid Dragon Studios  ,,,0.04,,,0.0,0.05,https://www.vgchartz.com/game/16862/deadliest-catch-alaskan-storm/?region=All
15771,Kekkon Zenya,SAT,1995,Oct,27,undefined,Shogakukan  ,Shogakukan Production  ,,,,,0.05,0.0,0.05,https://www.vgchartz.com/game/3575/kekkon-zenya/?region=All
