Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,URL,New_Genre
9038,Capcom Fighting Evolution,PS2,2004.0,Nov,16.0,undefined,Capcom  ,Capcom Production Studio 2  ,,,0.1,0.08,,0.03,0.2,https://www.vgchartz.com/game/4939/capcom-fighting-evolution/?region=All,Fighting
9039,Mobile Suit Gundam: Crossfire,PS3,2006.0,Nov,13.0,undefined,Namco Bandai  ,Namco Bandai Games America  ,,,0.06,0.0,0.14,0.01,0.2,https://www.vgchartz.com/game/1392/mobile-suit-gundam-crossfire/?region=All,Simulation
9040,Godzilla (2015),PS4,2015.0,Jul,14.0,undefined,Namco Bandai Games  ,Natsume  ,,,0.11,0.03,0.03,0.03,0.2,https://www.vgchartz.com/game/85485/godzilla-2015/?region=All,Action
9041,SD Gundam GNext,SNES,1995.0,Dec,22.0,undefined,Bandai  ,Bandai  ,,,,,0.2,,0.2,https://www.vgchartz.com/game/4255/sd-gundam-gnext/?region=All,Strategy
9042,Backyard NFL Football 2006,PS2,2005.0,Oct,4.0,undefined,Atari  ,Humongous Entertainment  ,,,0.1,0.08,,0.03,0.2,https://www.vgchartz.com/game/147/backyard-nfl-football-2006/?region=All,Sports
9043,Thrillville,PSP,2006.0,Nov,21.0,undefined,LucasArts  ,Frontier Developments  ,7.4,,0.18,0.0,,0.02,0.2,https://www.vgchartz.com/game/5861/thrillville/?region=All,Strategy
9044,NASCAR Heat 2002,XB,2001.0,Nov,14.0,undefined,Infogrames  ,Monster Games Inc.  ,,,0.15,0.04,,0.01,0.2,https://www.vgchartz.com/game/1493/nascar-heat-2002/?region=All,Racing
9045,Sloane to MacHale no Nazo no Monogatari,DS,2009.0,May,21.0,undefined,Level 5  ,Level 5  ,,,,,0.2,,0.2,https://www.vgchartz.com/game/34538/sloane-to-machale-no-nazo-no-monogatari/?region=All,Puzzle
9046,Skyborn,PC,,,,undefined,Unknown  ,Dancing Dragon Games  ,,,,,,,,https://www.vgchartz.com/game/223732/skyborn/?region=All,undefined
9047,Sengoku Basara 2 Heroes,PS2,2007.0,Nov,29.0,undefined,Capcom  ,Capcom  ,,,,,0.2,,0.2,https://www.vgchartz.com/game/12991/sengoku-basara-2-heroes/?region=All,Action
9048,Buzz! The Schools Quiz,PS2,2008.0,Jan,11.0,undefined,Sony Computer Entertainment  ,Relentless Software  ,,,,0.02,,0.19,0.2,https://www.vgchartz.com/game/44411/buzz-the-schools-quiz/?region=All,Misc
9049,Suikoden Tactics,PS2,2005.0,Nov,8.0,undefined,Konami  ,Konami  ,,,0.06,0.05,0.07,0.02,0.2,https://www.vgchartz.com/game/4169/suikoden-tactics/?region=All,Strategy
9050,NCAA March Madness 06,XB,2005.0,Oct,11.0,undefined,EA Sports  ,EA Canada  ,,,0.15,0.04,,0.01,0.2,https://www.vgchartz.com/game/1563/ncaa-march-madness-06/?region=All,Sports
9051,Pillars of Eternity II: Deadfire,PC,2018.0,Dec,31.0,undefined,Versus Evil  ,Obsidian Entertainment  ,,,,0.0,,,0.0,https://www.vgchartz.com/game/220648/pillars-of-eternity-ii-deadfire/?region=All,undefined
9052,Phantasy Star Online,DC,2001.0,Jan,29.0,undefined,Sega  ,Sonic Team  ,8.9,,,,0.2,,0.2,https://www.vgchartz.com/game/1727/phantasy-star-online/?region=All,Role-Playing
9053,Secret Of Magia,PC,,,,undefined,Unknown  ,EQ-Games  ,,,,,,,,https://www.vgchartz.com/game/223733/secret-of-magia/?region=All,undefined
