Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
8574,SingStar Celebration,PS4,2017,Oct,24,undefined,Sony Interactive Entertainment  ,SIE London Studio  ,,,0.04,0.15,,0.03,0.23
8575,101-in-1 Party Megamix Wii,Wii,2009,Oct,27,undefined,Atlus  ,Nordcurrent  ,,,0.19,0.01,,0.02,0.22
8576,Legion: The Legend of Excalibur,PS2,2002,Jun,18,undefined,Midway Games  ,7 Studios  ,,,0.11,0.09,,0.03,0.22
8577,Total War Saga: Thrones of Britannia,PC,2018,May,03,undefined,Sega  ,Creative Assembly  ,,,,0.01,,0.0,0.01
8578,Kung Fu Panda 2,DS,2011,May,24,undefined,THQ  ,THQ  ,,,0.16,0.05,,0.02,0.22
8579,Gekijouban Macross F: Sayonara no Tsubasa - Hybrid Pack,PS3,2011,Oct,20,undefined,Namco Bandai  ,Bandai Namco Games  ,,,,,0.22,,0.22
8580,Pro Evolution Soccer 2011,Wii,2010,Nov,02,undefined,Konami  ,Konami  ,,,0.07,0.1,0.03,0.02,0.22
8581,TNA iMPACT!,PS2,2008,Sep,09,undefined,Midway Games  ,Midway Studios Los Angeles  ,6.1,,0.1,0.0,,0.12,0.22
8582,Last Window: The Secret of Cape West,DS,2010,Sep,17,undefined,Nintendo  ,"Cing, Inc  ",7.3,,,0.12,0.09,0.01,0.22
8583,Ultimate Duck Hunting: Hunting & Retrieving Ducks,Wii,2007,Dec,03,undefined,Detn8 Games  ,Collision Studios  ,,,0.21,,,0.02,0.22
8584,It's Spring Again,PC,N/A,N/A,N/A,undefined,Unknown  ,Baba Yaga Games  ,,,,,,,
8585,NBA Street: Showdown,PSP,2005,Apr,27,undefined,Electronic Arts  ,EA Sports  ,7.5,,0.2,0.0,,0.02,0.22
8586,Def Jam: Fight for NY,GC,2004,Sep,20,undefined,Electronic Arts  ,Unknown  ,,,0.17,0.05,,0.01,0.22
8587,Sword Art Online: Infinity Moment,PSP,2013,Mar,14,undefined,Namco Bandai Games  ,Aquria  ,,,,,0.22,,0.22
8588,Spartan: Total Warrior,PS2,2005,Oct,25,undefined,Sega  ,The Creative Assembly  ,7.2,,0.11,0.09,,0.03,0.22
8589,EX Monopoly,GBA,2001,Jul,13,undefined,Takara  ,Takara  ,,,0.16,0.06,,0.0,0.22
8590,64 de Hakken! Tamagotchi Minna de Tamagotchi World,N64,1997,Dec,19,undefined,Bandai  ,AI  ,,,,,0.22,0.0,0.22
8591,Mary-Kate and Ashley: Sweet 16 - Licenced to Drive,GC,2003,Feb,14,undefined,Acclaim Entertainment  ,n-Space  ,,,0.17,0.04,,0.01,0.22
8592,Assault,2600,1983,Jan,01,undefined,Bomb  ,Bomb  ,,,0.21,0.01,,0.0,0.22
8593,Deadly Duck,2600,1982,Jan,01,undefined,20th Century Fox Video Games  ,20th Century Fox Video Games  ,,,0.21,0.01,,0.0,0.22
8594,Reactor,2600,1982,Jan,01,undefined,Parker Bros.  ,Parker Bros.  ,,,0.21,0.01,,0.0,0.22
8595,Gundam Battle Chronicle,PSP,2007,Oct,04,undefined,Namco Bandai  ,ArtDink  ,,,,,0.22,,0.22
8596,Lovers in a Dangerous Spacetime,PC,2020,Dec,31,undefined,Asteroid Base  ,Unknown  ,,,,,,,
8597,NightSky,PC,2011,Jan,06,undefined,Unknown  ,Nicalis  ,7.8,,,,,,
8598,Danball Senki Boost,PSP,2011,Nov,23,undefined,Level 5  ,Level 5  ,,,,,0.22,,0.22
8599,Conflict: Vietnam,XB,2004,Oct,05,undefined,Global Star Software  ,Pivotal Games  ,,,0.17,0.05,,0.01,0.22
8600,Whirl Tour,PS2,2002,Nov,25,undefined,VU Games  ,Papaya Studios  ,,,0.11,0.09,,0.03,0.22
8601,DanceDanceRevolution II,Wii,2011,Oct,11,undefined,Konami  ,Konami  ,,,0.21,,,0.02,0.22
8602,Time Crisis: Crisis Zone,PS2,2004,Oct,19,undefined,Namco  ,Namco  ,,,0.11,0.09,,0.03,0.22
8603,Momotarou Dentetsu 15,PS2,2005,Dec,08,undefined,Hudson Soft  ,Hudson Soft  ,,,,,0.22,,0.22
8604,Ben 10 Ultimate Alien: Cosmic Destruction,PS2,2010,Oct,05,undefined,D3 Publisher  ,Papaya Studios  ,,,0.13,0.06,,0.04,0.22
8605,G-Force,PS3,2009,Jul,21,undefined,Disney Interactive Studios  ,Eurocom Entertainment Software  ,7.4,,0.13,0.06,,0.03,0.22
8606,NBA Live 15,XOne,2014,Oct,28,undefined,Electronic Arts  ,EA Tiburon  ,,,0.18,0.02,,0.02,0.22
8607,Pokémon Gold/Pokémon Silver,3DS,2017,Sep,22,undefined,Nintendo  ,Game Freak  ,,,,0.21,,0.01,0.22
8608,Skies of Arcadia Legends,GC,2003,Jan,27,undefined,Sega  ,Overworks  ,8.6,,0.17,0.04,,0.01,0.22
8609,Petz Monkeyz House,DS,2008,Nov,18,undefined,Ubisoft  ,Ubisoft  ,5.5,,0.2,0.0,,0.02,0.22
8610,MotoGP 08,PS2,2008,Oct,28,undefined,Capcom  ,MileStone Inc.  ,,,0.01,0.0,,0.21,0.22
8611,Cloudy With a Chance of Meatballs,DS,2009,Sep,15,undefined,Ubisoft  ,Ubisoft Shanghai  ,,,0.2,0.01,,0.02,0.22
8612,Code Name: S.T.E.A.M.,3DS,2015,Mar,13,undefined,Nintendo  ,Intelligent Systems  ,8.0,,0.14,0.05,0.02,0.02,0.22
8613,Sengoku Basara 3 Utage,PS3,2011,Nov,10,undefined,Capcom  ,Capcom  ,,,,,0.22,,0.22
8614,FaceBreaker K.O. Party,Wii,2008,Nov,11,undefined,Electronic Arts  ,EA Freestyle  ,6.7,,0.19,0.01,,0.02,0.22
8615,Bacteria,PC,N/A,N/A,N/A,undefined,Unknown  ,Sometimes You  ,,,,,,,
8616,Dead by Daylight,PS4,2017,Jun,20,undefined,505 Games  ,Behaviour Interactive Inc.  ,,,0.11,0.06,0.02,0.04,0.22
8617,Breath of Fire,GBA,2001,Dec,13,undefined,Capcom  ,Capcom  ,7.8,,0.11,0.04,0.06,0.0,0.22
8618,Dear RED,PC,N/A,N/A,N/A,undefined,Unknown  ,Lee Sang  ,,,,,,,
8619,NASCAR 2011: The Game,Wii,2011,May,24,undefined,Activision  ,Eutechnyx  ,4.3,,0.21,,,0.01,0.22
8620,Attack on Titan 2,PS4,2018,Mar,20,undefined,Koei Tecmo  ,Omega Force  ,7.8,,0.09,0.04,0.06,0.03,0.22
8621,Ford vs. Chevy,PS2,2005,Nov,09,undefined,Global Star Software  ,2K Games  ,,,0.11,0.09,,0.03,0.22
8622,NCAA Football 2005,GC,2004,Jul,15,undefined,EA Sports  ,EA Tiburon  ,,,0.17,0.04,,0.01,0.22
8623,The Wolf Among Us,PS4,2014,Nov,04,undefined,Telltale Games  ,Telltale Games  ,,,0.11,0.07,,0.04,0.22
8624,Child of Eden,PS3,2011,Sep,27,undefined,Ubisoft  ,Q Entertainment  ,7.7,,0.09,0.1,,0.04,0.22
8625,Hamtaro: Ham-Ham Games,GBA,2004,Jul,27,undefined,Nintendo  ,AlphaDream Corporation  ,7.5,,0.16,0.06,,0.0,0.22
8626,Danny Phantom: The Ultimate Enemy,GBA,2005,Sep,08,undefined,THQ  ,Altron  ,7.5,,0.16,0.06,,0.0,0.22
8627,EeOneGuy Adventure,PC,N/A,N/A,N/A,undefined,Unknown  ,Akakiy Petrushkin  ,,,,,,,
8628,Discovery Kids: Dolphin Discovery,DS,2009,Mar,24,undefined,505 Games  ,Starfish  ,,,0.2,0.0,,0.01,0.22
8629,Star Wars: The Force Unleashed II,DS,2010,Oct,26,undefined,LucasArts  ,LucasArts  ,4.0,,0.17,0.03,,0.02,0.22
8630,Micro Machines: World Series,PS4,2017,Jun,30,undefined,Codemasters  ,Codemasters  ,,,0.03,0.16,,0.03,0.22
8631,Crazy Climber,2600,1982,Jan,01,undefined,Atari  ,Atari  ,,,0.21,0.01,,0.0,0.22
8632,F1 2016,XOne,2016,Aug,19,undefined,Codemasters  ,Codemasters  ,,,0.09,0.12,,0.02,0.22
8633,Super Adventure Island,SNES,1992,Apr,01,undefined,Hudson Soft  ,Produce!  ,,,,,0.22,0.0,0.22
8634,Rock Band Track Pack: Classic Rock,Wii,2009,May,19,undefined,MTV Games  ,Harmonix Music Systems  ,,,0.21,,,0.02,0.22
8635,Bust-A-Move 4,PS,1998,Oct,31,undefined,Natsume  ,Taito Corporation  ,7.8,,0.12,0.08,,0.01,0.22
8636,NFL Quarterback Club 97,PS,1996,Aug,31,undefined,Acclaim Entertainment  ,Iguana Entertaiment  ,,,0.12,0.08,,0.01,0.22
8637,Galactic Wrestling: Featuring Ultimate Muscle,PS2,2004,Jun,30,undefined,Bandai  ,Aki Corporation  ,7.3,,0.03,0.02,0.17,0.01,0.22
8638,Dino Stalker,PS2,2002,Sep,09,undefined,Capcom  ,Capcom  ,,,0.07,0.06,0.08,0.02,0.22
8639,Super Swing Golf,Wii,2006,Dec,12,undefined,Tecmo  ,Ntreev Soft  ,,,0.14,0.01,0.07,0.01,0.22
8640,Mobile Suit Gundam Seed,PS2,2003,Jul,31,undefined,Bandai  ,Bandai  ,,,,,0.22,,0.22
8641,Petz Rescue: Endangered Paradise,DS,2008,Nov,18,undefined,Ubisoft  ,Phoenix Interactive Entertainment  ,,,0.21,0.0,,0.02,0.22
8642,Rapala's Fishing Frenzy,Wii,2008,Sep,02,undefined,Activision  ,FUN Labs  ,,,0.2,0.0,,0.02,0.22
8643,Age of Empires: The Age of Kings,DS,2006,Feb,14,undefined,Majesco  ,Backbone Entertainment  ,,,0.18,0.02,,0.02,0.22
8644,Mega Man Zero 3,GBA,2004,Oct,05,undefined,Capcom  ,Inti Creates  ,,,0.16,0.06,,0.0,0.22
8645,Life Is Strange: Before the Storm,PS4,2018,Mar,06,undefined,Square Enix  ,Deck Nine  ,7.5,,0.11,0.06,0.02,0.03,0.22
8646,MotoGP 09/10,PS3,2010,Mar,23,undefined,Capcom  ,Monumental Games  ,7.0,,0.05,0.13,,0.04,0.22
8647,Luminous Arc 2,DS,2008,Nov,18,undefined,Atlus  ,imageepoch Inc.  ,7.5,,0.2,0.0,,0.02,0.22
8648,Barbie Super Sports,PS,1999,Dec,30,undefined,Mattel Interactive  ,Unknown  ,,,0.12,0.08,,0.01,0.22
8649,ShipLord,PC,N/A,N/A,N/A,undefined,Unknown  ,Just1337 Studio  ,,,,,,,
8650,The Astral Hero,PC,N/A,N/A,N/A,undefined,Unknown  ,Ardi Studio  ,,,,,,,
8651,Red Death,PC,N/A,N/A,N/A,undefined,Unknown  ,Panda Indie Studio  ,,,,,,,
8652,Resident Evil: Revelations,WiiU,2013,May,21,undefined,Capcom  ,Capcom  ,7.5,,0.09,0.08,0.03,0.02,0.22
8653,Tony Hawk's Downhill Jam,DS,2006,Oct,24,undefined,Activision  ,Vicarious Visions  ,,,0.2,0.0,,0.02,0.22
8654,Nicktoons Collection: Game Boy Advance Video Volume 2,GBA,2004,Sep,20,undefined,Majesco  ,Majesco Games  ,,,0.16,0.06,,0.0,0.22
8655,The Legend of Heroes: Trails of Cold Steel II,PS3,2016,Sep,06,undefined,Xseed Games  ,Nihon Falcom Corporation  ,,,0.05,0.04,0.11,0.02,0.22
8656,Just Dance 2016,PS3,2015,Oct,20,undefined,Ubisoft  ,Ubisoft Paris  ,,,0.12,0.06,,0.04,0.22
8657,Duel Masters: Kaijudo Showdown,GBA,2004,Nov,16,undefined,Atari  ,Mistic Software  ,5.8,,0.16,0.06,,0.0,0.22
8658,Worms: Battle Islands,Wii,2010,Nov,23,undefined,THQ  ,Team17 Software  ,,,0.1,0.1,,0.02,0.22
8659,Sumikko Gurashi: Mura o Tsukurundesu,3DS,2016,Jul,21,undefined,Nippon Columbia  ,Nippon Columbia  ,,,,,0.22,,0.22
8660,Dragon Quest Builders: Revive Alefgard,NS,2018,Feb,09,undefined,Square Enix  ,Square Enix  ,8.0,,0.07,0.07,0.07,0.01,0.22
8661,The Lord of the Rings: The Third Age,GBA,2004,Nov,02,undefined,Electronic Arts  ,Griptonite Games  ,,,0.16,0.06,,0.0,0.22
8662,Kidz Bop Dance Party! The Video Game,Wii,2010,Sep,21,undefined,D3 Publisher  ,Art Corporation  ,,,0.2,,,0.02,0.22
8663,Steel Division: Normandy 44,PC,N/A,N/A,N/A,undefined,Unknown  ,Eugen Systems  ,,,,,,,
8664,Karaoke Revolution Glee 2: Road to Regionals,Wii,2011,Apr,05,undefined,Konami  ,Blitz Games  ,,,0.14,0.06,,0.02,0.22
8665,Deadpool,XOne,2015,Nov,18,undefined,Activision  ,High Moon Studios  ,,,0.17,0.03,,0.02,0.22
8666,The Suffering,XB,2004,Mar,09,undefined,Midway Games  ,Surreal Software  ,,,0.16,0.05,,0.01,0.22
8667,NEKOPARA Vol. 3,PC,N/A,N/A,N/A,undefined,Unknown  ,Neko Works  ,,,,,,,
8668,Bloodbath Kavkaz,PC,N/A,N/A,N/A,undefined,Unknown  ,Dagestan Technology  ,,,,,,,
8669,Tetris Worlds,GC,2002,Jun,23,undefined,THQ  ,Radical Entertainment  ,4.6,,0.17,0.04,,0.01,0.22
8670,Chou-Kuukan Night Pro Yakyuu King(higher JP sales),N64,1996,Dec,20,undefined,Imagineer  ,Genki  ,,,,,0.22,0.0,0.22
8671,ECW Hardcore Revolution,N64,2000,Jan,31,undefined,Acclaim Entertainment  ,Acclaim Entertainment  ,,,0.18,0.04,,0.0,0.22
8672,Mega Man 64,N64,2001,Jan,10,undefined,Capcom  ,Capcom  ,,,0.14,0.03,0.05,0.0,0.22
8673,Ms. Pac-Man: Maze Madness,N64,2000,Nov,12,undefined,Namco  ,Mass Media  ,,,0.18,0.04,,0.0,0.22
8674,Rampage 2: Universal Tour,N64,1999,Mar,01,undefined,Midway Games  ,Avalanche Software  ,,,0.18,0.04,,0.0,0.22
8675,NBA Live 09 All-Play,Wii,2008,Oct,07,undefined,EA Sports  ,EA Canada  ,,,0.19,0.02,,0.02,0.22
8676,Tales of Graces,Wii,2009,Dec,10,undefined,Namco Bandai  ,Namco Tales Studio  ,,,,,0.22,,0.22
8677,The Amazing Spider-Man 2 (2014),XOne,2014,Apr,29,undefined,Activision  ,Beenox  ,,,0.12,0.08,,0.02,0.22
8678,All Star Karate,Wii,2010,Apr,20,undefined,THQ  ,THQ  ,,,0.13,0.07,,0.02,0.22
8679,Viewtiful Joe 2,GC,2004,Nov,18,undefined,Capcom  ,Clover Studio  ,,,0.17,0.04,,0.01,0.22
8680,Jackass the Game,PSP,2007,Sep,27,undefined,Red Mile Entertainment  ,Sidhe Interactive  ,5.6,,0.09,0.08,,0.05,0.22
8681,The Legend of Heroes: Trails in the Sky FC,PSP,2011,Mar,29,undefined,Xseed Games  ,Nihon Falcom Corporation  ,,,0.1,0.03,0.06,0.03,0.22
8682,Naruto Shippuuden: Ninja Council 4,DS,2009,Jun,02,undefined,Tomy Corporation  ,Takara Tomy  ,,,0.08,,0.13,0.01,0.22
8683,Mary-Kate and Ashley: Sweet 16 - Licenced to Drive,PS2,2002,Nov,20,undefined,Acclaim Entertainment  ,n-Space  ,,,0.11,0.08,,0.03,0.22
8684,Edna & Harvey: Harvey's New Eyes,PC,2011,Aug,26,undefined,Rondomedia  ,Daedalic Entertainment  ,,,,0.07,,0.01,0.08
8685,Kingdom Come: Deliverance,XOne,2018,Feb,13,undefined,Deep Silver  ,Warhorse Studios  ,,,0.14,0.06,,0.02,0.22
8686,Dragon Ball: Origins (JP & incomplete US sales),DS,2008,Nov,04,undefined,Atari  ,Game Republik  ,,,0.04,,0.17,0.0,0.22
8687,Touch the Dead,DS,2007,May,16,undefined,Eidos Interactive  ,Dream On Studio  ,,,0.2,0.0,,0.02,0.22
8688,Marvel Super Hero Squad: The Infinity Gauntlet,DS,2010,Nov,16,undefined,THQ  ,Griptonite Games  ,,,0.17,0.03,,0.02,0.22
8689,NBA Jam Extreme,PS,1996,Oct,31,undefined,Acclaim Entertainment  ,Sculptured Software  ,,,0.12,0.08,,0.01,0.22
8690,Bladestorm: Nightmare,PS4,2015,Mar,03,undefined,Tecmo Koei  ,Omega Force  ,,,0.11,0.04,0.03,0.03,0.22
8691,Aliens vs Predator: Requiem,PSP,2007,Nov,13,undefined,Sierra Entertainment  ,Rebellion Developments  ,,,0.03,0.12,,0.07,0.22
8692,WipeOut 3 The Game,X360,2012,Sep,25,undefined,Activision  ,Behaviour Interactive  ,,,0.2,,,0.02,0.22
8693,Ragnarok DS,DS,2010,Feb,16,undefined,Xseed Games  ,GungHo Works  ,7.0,,0.1,,0.11,0.01,0.22
8694,The Witch and the Hundred Knight,PS3,2014,Mar,25,undefined,NIS America  ,Nippon Ichi Software  ,,,0.08,0.02,0.1,0.02,0.22
8695,Deep Space WAIFU,PC,N/A,N/A,N/A,undefined,Unknown  ,Neko Climax Studios  ,,,,,,,
8696,ATV Quad Kings,Wii,2009,Aug,04,undefined,Zoo Digital Publishing  ,Zoo Games  ,,,0.2,,,0.01,0.22
8697,Nickelodeon Party Blast,XB,2002,Oct,30,undefined,Infogrames  ,Data Design Interactive  ,,,0.16,0.05,,0.01,0.22
8698,ZombieCarz,PC,N/A,N/A,N/A,undefined,Unknown  ,Unknown  ,,,,,,,
8699,NHL Championship 2000,PS,1999,Oct,06,undefined,Fox Interactive  ,Fox Interactive  ,,,0.12,0.08,,0.01,0.22
8700,Transformers: Dark of the Moon,3DS,2011,Jun,14,undefined,Activision  ,Behaviour Interactive Inc.  ,3.0,,0.16,0.04,,0.02,0.22
8701,LEGO Harry Potter: Years 5-7,PC,2011,Nov,11,undefined,Warner Bros. Interactive  ,Traveller's Tales  ,,,0.05,0.15,,0.03,0.22
8702,ShellShock: Nam '67,XB,2004,Sep,14,undefined,Eidos Interactive  ,Guerrilla Games  ,,,0.16,0.05,,0.01,0.22
8703,Kartia: The Word of Fate,PS,1998,Jul,31,undefined,Atlus  ,Atlus Co.  ,7.9,,0.05,0.03,0.12,0.01,0.22
8704,CSI: Fatal Conspiracy,Wii,2010,Oct,26,undefined,Ubisoft  ,Telltale Games  ,,,0.12,0.08,,0.02,0.22
8705,The Bureau: XCOM Declassified,X360,2013,Aug,20,undefined,2K Games  ,2K Marin  ,,,0.1,0.1,,0.02,0.22
8706,LEGO Harry Potter Collection,XOne,2018,Oct,30,undefined,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,,,0.14,0.06,,0.02,0.22
8707,All-Star Baseball 2002,GC,2001,Nov,17,undefined,Acclaim Entertainment  ,Acclaim Entertainment  ,6.5,,0.17,0.04,,0.01,0.22
8708,Deadly Creatures,Wii,2009,Feb,09,undefined,THQ  ,Rainbow Studios  ,6.9,6.8,0.08,0.12,,0.02,0.22
8709,Magna Carta: Tears of Blood,PS2,2005,Nov,16,undefined,Atlus  ,SoftMax  ,6.1,,0.11,0.08,,0.03,0.22
8710,Pinball Hall of Fame: The Williams Collection,PS3,2009,Sep,22,undefined,Crave Entertainment  ,FarSight Studios  ,,,0.2,,,0.02,0.22
8711,Lethal Skies Elite Pilot: Team SW,PS2,2002,May,31,undefined,Sammy Corporation  ,"Asmik Ace Entertainment, Inc.  ",,,0.11,0.08,,0.03,0.22
8712,Zombie Army Trilogy,PS4,2015,Mar,06,undefined,Rebellion Developments  ,Rebellion Developments  ,,,0.06,0.13,,0.03,0.22
8713,Shin Megami Tensei: Persona,PSP,2009,Sep,22,undefined,Atlus  ,Atlus Co.  ,7.6,,0.08,,0.13,0.01,0.22
8714,Capcom vs. SNK,DC,2000,Nov,09,undefined,Capcom  ,Capcom  ,8.8,,,,0.22,,0.22
8715,911 Operator,PC,N/A,N/A,N/A,undefined,Unknown  ,Jutsu Games  ,,,,,,,
8716,Return to PopoloCrois: A Story of Seasons Fairytale,3DS,2016,Mar,01,undefined,Xseed Games  ,Marvelous Entertainment  ,7.0,,0.09,,0.11,0.01,0.22
8717,Tamagotchi no KiraKira Omisecchi,DS,2008,Nov,27,undefined,Namco Bandai  ,Bandai Namco Games  ,,,,,0.22,,0.22
8718,From Russia With Love,GC,2005,Nov,15,undefined,Electronic Arts  ,EA Redwood Shores  ,7.3,,0.17,0.04,,0.01,0.22
8719,Lords of the Fallen,XOne,2014,Oct,28,undefined,Namco Bandai Games  ,DECK13 Interactive  ,,,0.1,0.1,,0.02,0.22
8720,Hitman 2,XOne,2018,Nov,13,undefined,Warner Bros. Interactive Entertainment  ,IO Interactive  ,,,0.14,0.06,,0.02,0.22
8721,SweatShop,PC,N/A,N/A,N/A,undefined,Unknown  ,DUCK  ,,,,,,,
8722,Outlast Trinity,PS4,2017,Apr,25,undefined,Warner Bros. Interactive Entertainment  ,Red Barrels  ,,,0.09,0.09,,0.04,0.22
8723,Guitar Hero: Smash Hits,PS2,2009,Jun,16,undefined,Activision  ,Vicarious Visions  ,6.9,,0.11,0.01,,0.1,0.22
8724,NCAA Basketball 09,X360,2008,Nov,17,undefined,EA Sports  ,EA Canada  ,,,0.2,,,0.02,0.22
8725,NFL Quarterback Club 2002,PS2,2001,Sep,05,undefined,Acclaim Entertainment  ,Acclaim Entertainment  ,,,0.11,0.08,,0.03,0.22
8726,Yu-Gi-Oh! GX: Spirit Caller (American Sales),DS,2007,Jan,02,undefined,Konami  ,Konami  ,,,0.18,0.03,,0.02,0.22
8727,Danganronpa Another Episode: Ultra Despair Girls,PSV,2015,Sep,01,undefined,NIS America  ,Spike Chunsoft  ,,,0.06,0.01,0.12,0.02,0.22
8728,Kirby's Star Stacker,GB,1997,Jan,24,undefined,Nintendo  ,HAL Laboratory  ,,,,,0.22,,0.22
8729,The Wild Eight,PC,N/A,N/A,N/A,undefined,Unknown  ,HypeTrain Digital  ,,,,,,,
8730,Puss in Boots,Wii,2011,Oct,25,undefined,THQ  ,THQ  ,,,0.19,0.02,,0.02,0.22
8731,Ben 10 Alien Force: Vilgax Attacks,X360,2009,Oct,27,undefined,D3 Publisher  ,Papaya Studio Corporation  ,,,0.11,0.09,,0.02,0.22
8732,Edge of Space,PC,2013,Jun,28,undefined,Unknown  ,Unknown  ,,,,,,,
8733,Judgment,PS4,2019,Jun,25,undefined,Sega  ,Sega  ,,,,,0.22,,0.22
8734,Imagine: Detective,DS,2009,Sep,08,undefined,Ubisoft  ,Ubisoft Sao Paulo  ,,,0.14,0.01,,0.06,0.22
8735,Growlanser: Heritage of War,PS2,2007,Sep,18,undefined,Atlus  ,Career Soft  ,,,0.11,0.08,,0.03,0.22
8736,Tropico 3,X360,2010,Feb,16,undefined,Kalypso  ,Haemimont Games  ,7.7,,0.15,0.02,0.03,0.01,0.22
8737,Chroma Squad,PC,2015,Apr,30,undefined,Behold Studios  ,Behold Studios  ,,,,,,,
8738,Rugby 2004,PS2,2003,Sep,16,undefined,EA Sports  ,HB Studios Multimedia  ,5.0,,0.11,0.08,,0.03,0.22
8739,Disney's Magical Quest Starring Mickey and Minnie,GBA,2002,Aug,13,undefined,Nintendo  ,Capcom  ,6.1,,0.16,0.06,,0.0,0.22
8740,Hasbro Family Game Night,DS,2009,Oct,26,undefined,Electronic Arts  ,EA Bright Light  ,,,0.01,0.19,,0.02,0.22
8741,KORG DS-10 Synthesizer,DS,2008,Nov,04,undefined,Xseed Games  ,AQ Interactive  ,,,0.19,0.01,,0.02,0.22
8742,Betrayer,PC,N/A,N/A,N/A,undefined,Unknown  ,Blackpowder Games  ,,,,,,,
8743,NBA 06,PSP,2005,Oct,04,undefined,Sony Computer Entertainment  ,SCE San Diego Studio  ,7.2,,0.2,,,0.02,0.22
8744,Warriors Orochi 4,PS4,2018,Oct,16,undefined,Koei Tecmo  ,Omega Force  ,,,0.05,,0.16,0.01,0.22
8745,Night in the Woods,PC,2017,Feb,21,undefined,Unknown  ,Unknown  ,8.8,,,,,,
8746,Naruto: Ninja Council,GBA,2006,Mar,07,undefined,D3 Publisher  ,Aspect  ,,,0.16,0.06,,0.0,0.22
8747,DS Nishimura Kyotaro Suspense Shin Tantei Series: Kyoto Atami Zekkai no Kotou - Satsui no Wana,DS,2007,Oct,11,undefined,Tecmo  ,Tecmo  ,,,,,0.22,,0.22
8748,Wreckless: ThE YaKuza MisSiOns,PS2,2002,Nov,13,undefined,Activision  ,Stealth Studios  ,,,0.11,0.08,,0.03,0.22
8749,Jikkyou Powerful Major League,PS2,2006,May,11,undefined,Konami  ,PawaPuro Production  ,,,,,0.22,,0.22
8750,NFL 2K3,GC,2002,Aug,21,undefined,Sega  ,Visual Concepts  ,9.0,,0.17,0.04,,0.01,0.22
8751,Hidden Mysteries: Buckingham Palace,DS,2010,Mar,16,undefined,GameMill  ,Gunnar Games  ,,,0.13,0.07,,0.02,0.22
8752,Disgaea D2,PS3,2013,Oct,08,undefined,NIS America  ,Unknown  ,,,0.09,0.0,0.1,0.02,0.22
8753,Screencheat,PC,N/A,N/A,N/A,undefined,Unknown  ,Samurai Punk  ,,,,,,,
8754,Saltwater Sportfishing,PS,2001,Nov,28,undefined,Take-Two Interactive  ,Coresoft  ,,,0.12,0.08,,0.01,0.22
8755,Yoshi Touch & Go (JP sales),DS,2005,Mar,14,undefined,Nintendo  ,Nintendo EAD  ,,,,,0.22,,0.22
8756,Samurai Jack: The Amulet of Time,GBA,2003,Mar,30,undefined,BAM! Entertainment  ,Virtucraft  ,,,0.16,0.06,,0.0,0.22
8757,MySims Party,Wii,2009,Mar,10,undefined,Electronic Arts  ,EA Redwood Shores  ,,,0.17,0.03,,0.02,0.22
8758,J-League Winning Eleven 2008: Club Championship,PS2,2008,Aug,21,undefined,Konami  ,Konami  ,,,,,0.22,,0.22
8759,Jackie Chan: Stuntmaster,PS,2000,Jan,31,undefined,Midway Games  ,Radical Entertainment  ,,,0.12,0.08,,0.01,0.22
8760,Sports Car GT,PS,1999,Apr,23,undefined,Electronic Arts  ,Point of View  ,,,0.12,0.08,,0.01,0.22
8761,Big League Sports,X360,2011,Nov,08,undefined,Activision  ,Activision  ,,,0.18,0.02,,0.02,0.22
8762,Hunted: The Demon's Forge,X360,2011,May,31,undefined,Bethesda Softworks  ,InXile Entertainment  ,6.0,,0.13,0.07,0.0,0.02,0.22
8763,Afrika,PS3,2009,Oct,06,undefined,Natsume  ,Rhino Studios  ,6.0,8.0,0.12,0.0,0.08,0.01,0.22
8764,Scooby-Doo! Mystery Mayhem,GC,2004,Mar,02,undefined,THQ  ,Artificial Mind and Movement  ,,,0.17,0.04,,0.01,0.22
8765,Kanzen Chuuki Pro Yakyuu Greatest Nine,SAT,1995,May,26,undefined,Sega  ,Sega  ,,,,,0.22,,0.22
8766,American Idol,GBA,2003,Nov,18,undefined,Codemasters  ,Mobius Entertainment  ,,,0.15,0.06,,0.0,0.22
8767,Summer Athletics: The Ultimate Challenge (Others sales),Wii,2008,Aug,04,undefined,Conspiracy Entertainment  ,49Games  ,,,,0.2,,0.01,0.22
8768,Britney's Dance Beat,GBA,2002,Mar,25,undefined,THQ  ,Art  ,6.3,,0.15,0.06,,0.0,0.22
8769,Pass the Pigs,DS,2008,Oct,21,undefined,THQ  ,Universomo  ,,,0.2,,,0.02,0.22
8770,Shrek Superslam,GC,2005,Oct,25,undefined,Activision  ,Shaba Games  ,,,0.17,0.04,,0.01,0.22
8771,Sailor Moon,SNES,1994,Jan,01,undefined,Bandai  ,Angel Studios  ,,,,,0.22,0.0,0.22
8772,Destiny Warriors RPG,PC,N/A,N/A,N/A,undefined,Unknown  ,ninjalex  ,,,,,,,
8773,WipeOut 3 The Game,3DS,2012,Sep,25,undefined,Activision  ,Behaviour Interactive  ,,,0.19,,,0.02,0.22
8774,The Lords of the Earth Flame,PC,N/A,N/A,N/A,undefined,Unknown  ,"Rhino Games, Inc.  ",,,,,,,
